Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,441,117,65,756,875,982
4/10/2022,>25,Male,940,815,734,550,259,673
4/10/2022,15-25,Female,293,295,866,973,440,252
4/10/2022,>25,Female,844,326,979,910,806,871
5/10/2022,15-25,Male,199,491,134,251,396,244
5/10/2022,>25,Male,366,65,370,453,370,160
5/10/2022,15-25,Female,633,415,610,48,383,939
5/10/2022,>25,Female,74,672,22,63,561,894
6/10/2022,15-25,Male,464,901,333,988,596,600
6/10/2022,>25,Male,278,841,509,748,95,568
6/10/2022,15-25,Female,831,401,777,219,627,993
6/10/2022,>25,Female,215,225,409,628,511,672
7/10/2022,15-25,Male,111,12,396,647,445,390
7/10/2022,>25,Male,782,785,520,434,458,249
7/10/2022,15-25,Female,465,296,979,584,184,880
7/10/2022,>25,Female,604,953,629,232,674,539
8/10/2022,15-25,Male,474,953,38,780,675,10
8/10/2022,>25,Male,734,606,501,957,780,315
8/10/2022,15-25,Female,978,934,701,221,40,793
8/10/2022,>25,Female,566,578,213,824,743,696
9/10/2022,15-25,Male,758,774,108,88,911,400
9/10/2022,>25,Male,970,403,925,224,479,478
9/10/2022,15-25,Female,613,206,384,947,368,535
9/10/2022,>25,Female,480,267,779,257,412,918
10/10/2022,15-25,Male,767,266,296,880,255,184
10/10/2022,>25,Male,892,904,532,291,264,578
10/10/2022,15-25,Female,133,820,382,325,617,356
10/10/2022,>25,Female,772,61,490,127,124,510
11/10/2022,15-25,Male,628,188,964,866,241,226
11/10/2022,>25,Male,372,284,47,279,429,773
11/10/2022,15-25,Female,517,478,671,864,535,76
11/10/2022,>25,Female,811,426,880,434,650,827
12/10/2022,15-25,Male,296,374,351,525,403,53
12/10/2022,>25,Male,323,537,371,16,679,890
12/10/2022,15-25,Female,198,176,201,572,780,754
12/10/2022,>25,Female,987,450,891,436,432,30
13/10/2022,15-25,Male,516,383,960,26,886,27
13/10/2022,>25,Male,817,625,982,782,632,955
13/10/2022,15-25,Female,58,194,992,685,699,350
13/10/2022,>25,Female,167,899,523,362,806,736
14/10/2022,15-25,Male,547,314,146,358,360,381
14/10/2022,>25,Male,94,974,459,478,895,513
14/10/2022,15-25,Female,305,644,675,185,981,342
14/10/2022,>25,Female,79,551,500,484,810,603
15/10/2022,15-25,Male,423,168,72,628,248,203
15/10/2022,>25,Male,387,226,147,549,402,938
15/10/2022,15-25,Female,557,923,982,919,391,990
15/10/2022,>25,Female,118,980,879,426,502,973
16/10/2022,15-25,Male,717,664,969,699,702,283
16/10/2022,>25,Male,24,562,231,957,558,564
16/10/2022,15-25,Female,976,231,803,491,500,16
16/10/2022,>25,Female,565,220,684,475,421,146
17/10/2022,15-25,Male,789,734,291,245,51,241
17/10/2022,>25,Male,891,278,684,575,508,156
17/10/2022,15-25,Female,4,396,824,885,329,794
17/10/2022,>25,Female,128,562,193,103,37,960
18/10/2022,15-25,Male,296,12,805,28,458,760
18/10/2022,>25,Male,967,809,811,429,835,899
18/10/2022,15-25,Female,373,586,426,671,177,720
18/10/2022,>25,Female,334,57,712,861,858,910
19/10/2022,15-25,Male,261,531,742,711,318,824
19/10/2022,>25,Male,315,814,438,322,819,849
19/10/2022,15-25,Female,311,164,494,991,419,399
19/10/2022,>25,Female,258,196,306,293,118,192
20/10/2022,15-25,Male,403,439,226,789,574,809
20/10/2022,>25,Male,595,473,58,494,374,519
20/10/2022,15-25,Female,554,846,994,17,959,360
20/10/2022,>25,Female,748,578,219,578,862,661
21/10/2022,15-25,Male,492,71,862,304,452,926
21/10/2022,>25,Male,895,696,653,164,775,86
21/10/2022,15-25,Female,606,501,722,437,150,550
21/10/2022,>25,Female,364,392,394,101,539,912
22/10/2022,15-25,Male,466,863,914,832,296,6
22/10/2022,>25,Male,461,475,255,977,241,503
22/10/2022,15-25,Female,888,490,411,598,440,550
22/10/2022,>25,Female,923,925,843,309,197,383
23/10/2022,15-25,Male,669,604,865,866,139,884
23/10/2022,>25,Male,658,268,758,590,543,672
23/10/2022,15-25,Female,873,108,453,378,643,477
23/10/2022,>25,Female,730,332,375,776,744,646
24/10/2022,15-25,Male,99,365,168,131,327,613
24/10/2022,>25,Male,332,887,903,954,830,714
24/10/2022,15-25,Female,37,842,875,480,817,840
24/10/2022,>25,Female,258,455,565,578,711,779
25/10/2022,15-25,Male,763,910,948,561,42,642
25/10/2022,>25,Male,611,53,870,46,992,277
25/10/2022,15-25,Female,454,395,840,824,902,196
25/10/2022,>25,Female,325,462,666,742,482,78
26/10/2022,15-25,Male,280,823,6,591,861,584
26/10/2022,>25,Male,43,494,399,210,5,783
26/10/2022,15-25,Female,188,129,850,945,884,323
26/10/2022,>25,Female,538,754,623,762,926,166
27/10/2022,15-25,Male,715,672,984,263,502,666
27/10/2022,>25,Male,898,124,901,571,877,470
27/10/2022,15-25,Female,211,370,64,819,49,732
27/10/2022,>25,Female,136,629,238,907,971,919
28/10/2022,15-25,Male,160,441,686,57,831,59
28/10/2022,>25,Male,393,697,607,378,981,136
28/10/2022,15-25,Female,404,284,606,332,11,814
28/10/2022,>25,Female,161,888,9,318,713,568
29/10/2022,15-25,Male,27,150,652,781,737,232
29/10/2022,>25,Male,607,23,392,569,846,482
29/10/2022,15-25,Female,384,434,504,690,584,583
29/10/2022,>25,Female,256,726,160,708,285,728
